OBJECTID,ABBREV,PERIOD,EPOCH,FORMATION,GROUP_,TOT_THICK_M,COLOR,LITH1,LITH2,LITH3,LITH4,GENESIS1,GENESIS2,GENESIS3,GENESIS4,SHAPE.AREA,SHAPE.LEN
152,Tl,Tertiary,Paleocene,Ludlow Formation, ,100,"grayish brown, yellowish brown","silt, sand, clay, sandstone, lignite", , , ,"river, lake, swamp", , , ,0.000309041327972352,0.108269031494416
189,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.011903168989639999,0.8600201992113071
20,Kms,Cretaceous,Lower to Upper Cretaceous,"Mowry, Newcastle, and Skull Creek", ,140,light - Dark Gray,shale,fine-medium grained sandstone,shale, ,marine offshore,marine shoreline and offshore,marine offshore, ,0.30984397300848304,4.63898803937577
95,Tp,Tertiary,Paleocene,Slope Formation, ,100,"grayish-brown, yellowish-brown","silt, sand, clay, sandstone, and lignite", , , ,"river, lake, swamp", , , ,0.270765322041616,14.446776653294199
232,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, clay","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.000231959294878912,0.0590080910997651
39,Ow,Ordovician, , ,Winnepeg Group,125,light gray to greenish gray,sandstone, , , ,marine nearshore and offshore, , , ,0.032845683185155905,1.13471704978922
193,Tg,Tertiary,Eocene or Paleocene,Golden Valley Formation, ,80,Yellowish Brown;white / yellow,"micaceous sandstone, sand, silt, and cla","clay, silt, sand", , ,fluvial,Weathering zone developed on Ts, , ,0.0020447238136623,0.304330925222833
119,Kf,Cretaceous,Upper Cretaceous,Fox Hills Formation, ,120,olive brown,"sand, shale, and sandstone", , , ,marine shoreline and offshore, , , ,0.00078727641154752,0.11307061757181901
151,Tp,Tertiary,Paleocene,Slope Formation, ,100,"grayish brown, yellowish brown","silt, sand, clay, sandstone, lignite", , , ,"river, lake, swamp", , , ,0.000340289608034048,0.107481992366726
36,Ts,Tertiary,Paleocene,Sentinel Butte Formation, ,200,grayish brown,"silt, sand, clay, sandstone, lignite", , , ,"river, lake, swamp", , , ,0.00368941378475715,0.25212827011907396
