OBJECTID,SITE_NO,LAN_FA_TY,LOCID,EFF_DATE,FAA_REGION,FAA_DISTRI,FAA_ST,STATE_NAME,COUNTY_NAM,COUNTY_ST,CITY_NAME,FULLNAME,OWNER_TYPE,FAC_USE,FAC_CYSTZP,ELEV,AERO_CHART,CBD_DIST,CBD_DIR,ACT_DATE,CERT_TYPE,FED_AGREE,INTERNATIO,CUST_LNDG,JOINT_USE,MIL_LNDG_R,MIL_INT,CNTL_TWR,S_ENG_GA,M_ENG_GA,JET_EN_GA,HELICOPTER,OPER_GLIDE,OPER_MIL,ULTRALIGHT,COMM_SERV,AIR_TAXI,LOCAL_OPS_,ITIN_OPS_G,MIL_OPS,LATITUDE,LONGITUDE,STFIPS,ST_POSTAL,CY_05_ENP,VERSION
250,17457.08*A,AIRPORT,NA03,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,RUSSELL,BOLL BROTHERS AIRSTRIP,PR,PR,"NEWBURG, ND 58762",1453,BILLINGS,02,E, , , , , , , , ,N,002, , , , , , , , , , , ,48.6725144444,-100.85820333330001,38,ND,0,10
64,17287.21*A,AIRPORT,6NA0,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BURKE,ND,COLUMBUS,STROM PRIVATE,PR,PR,"PORTAL, ND 58772",1930,BILLINGS,06,NNE,07/1985, , , , , , , ,N,003, , , , , , , , , , , ,48.9930883333,-102.73795055560001,38,ND,0,10
37,17270.3*A,AIRPORT,7ND5,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,WELLS,ND,BOWDON,BUCHMILLER,PR,PR,"BOWDON, ND 58418",1850,TWIN CITIES,08,SE, , , , , , , , ,N,003, , , , , , , , , , , ,47.3597188889,-99.6226161111,38,ND,0,10
200,17407.81*A,AIRPORT,2ND2,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC LEAN,ND,MERCER,MAKEEFF,PR,PR,"MERCER, ND 58559",1910,TWIN CITIES,04,N, , , , , , , , ,N,001, , , , , , , , , , , ,47.5669433333,-100.7212477778,38,ND,0,10
294,17490.82*A,AIRPORT,NA17,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,CASS,ND,WEST FARGO,JACOB GUST,PR,PR,"FARGO, ND 58102",895,TWIN CITIES,03,N, , , , , , , , ,N,004, , , , , , , , , , , ,46.9427461111,-96.9289727778,38,ND,0,10
231,17443.*A,AIRPORT,Y74,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MOUNTRAIL,ND,PARSHALL,PARSHALL-HANKINS,PU,PU,"PARSHALL, ND 58770",2031,BILLINGS,01,S, , ,NGY,N,N,N,Y, ,N,008, , , , , , , ,000050,000500,000200,000010,47.9364008333,-102.1421141667,38,ND,0,10
293,17488.1*A,AIRPORT,S25,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,MC KENZIE,ND,WATFORD CITY,WATFORD CITY MUNI,PU,PU,"WATFORD CITY, ND 58854",2109,BILLINGS,01,SE, , ,NGY,N,N,N,Y, ,N,011,001, , , , , , ,000300,001000,000800, ,47.7956997222,-103.2536991667,38,ND,0,10
11,17246.*A,AIRPORT,4NA3,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,BOTTINEAU,ND,ANTLER,PETERSON AIRSTRIP,PR,PR,"ANTLER, ND 58711",1545,BILLINGS,08,S,07/1985, , , , , , , ,N,001, , , , , , , , , , , ,48.8572427778,-101.3021036111,38,ND,0,10
124,17354.22*A,AIRPORT,GWR,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,SARGENT,ND,GWINNER,GWINNER-ROGER MELROE FIELD,PU,PU,"GWINNER, ND 58040",1266,TWIN CITIES,01,SE, , ,NGY,N,N,N,Y, ,N,007,001, , , , , , ,002100,000800,000800, ,46.2187222222,-97.64325,38,ND,0,10
143,17362.*A,AIRPORT,7NA0,01/18/2007,AGL,BIS,ND,NORTH DAKOTA,TRAILL,ND,HILLSBORO,DOWNS FARM PVT,PR,PR,"HILLSBORO, ND 58045",900,TWIN CITIES,03,S,04/1986, , , , , , , ,N, , , , , , , , , , , , ,47.3574786111,-97.0281408333,38,ND,0,10
