OBJECTID,NAME,AREA_ACRES,AREA_SQMI,SHAPE.AREA,SHAPE.LEN
261,Lower Wishek,4588.27583174,7.16917992,0.0021658941229818103,0.49350195364653904
2,Mohall,9030.13711402,14.10960007,0.00447576732454717,0.7670755907475221
258,Kilgore,41386.8298574,64.66690063,0.0202330041956769,1.187682423604
146,Unnamed,1112.2815868,1.73793995,0.000551372978951593,0.091124228025072
229,Garrison,1759.70784845,2.74954009,0.000852547615028761,0.360961981350932
65,Unnamed,1389.19091652,2.1706099500000002,0.000654049711789321,0.112891808188173
170,Missouri River,61742.2569349,96.47229767,0.0296422912969268,3.08141735017763
140,Spiritwood,238857.799873,373.21499634,0.112345338976749,2.60473641467979
26,Belmont,4877.98731733,7.62186003,0.0023620930521170997,0.28399681947663596
143,Little Missouri River,37835.2209114,59.11750031,0.0182953136146581,4.06529424831572
169,Knife River,33953.4056616,53.05220032,0.0163214641611797,1.93678805443819
54,Icelandic,56676.0900095,88.55639648,0.0280187019152989,0.962632705330839
21,Hankinson,25817.2622053,40.33950043,0.0121517419937345,0.695525038244328
101,Stoneview,1466.79361329,2.29187012,0.000724537862706537,0.176723172772277
212,Midway,44140.0239225,68.96880341,0.0211061934203513,1.06915485644507
85,Charbonneau,8131.19737486,12.70499992,0.00395717637093241,1.01206894862371
177,Little Heart,43722.6043497,68.31659698,0.0207727570005227,1.9187210846491498
242,Pony Gulch,9010.39304255,14.07870007,0.00436001110762598,0.50593971289563
197,Spiritwood-LaMoure SE,62035.6172618,96.93060303,0.029324348689808002,0.977750672036193
225,Wagonsport,2680.55474048,4.18837023,0.00128271514804579,0.20452098360281698
72,Hillsburg,15906.0857132,24.85330009,0.0075310595670583,0.404827931644376
45,Esmond,6144.98629508,9.60153961,0.00299516025048227,0.470462069098988
84,Squaw Creek,6298.18351922,9.84090996,0.0030526817709317,1.26810399263631
35,Martin,38733.9453079,60.52180099,0.0188220386037714,1.38155399810857
98,Unnamed,729.95643815,1.14056003,0.000361226140329524,0.121698842380126
44,Trappers Coulee,2268.26753492,3.5441699,0.0011065796916019,0.271069191509526
20,Milnor Channel,57843.1070833,90.37989807,0.0272569655181376,2.17461614572664
91,Yellowstone River Channel,107871.441319,168.54899597,0.053142080407227704,2.8029570728439097
152,Dunseith,2799.0821308,4.37356997,0.00138561756313704,0.145836147317585
151,Unnamed,1170.26358412,1.82853997,0.000577683184598334,0.12327102942187201
30,Leeds,4528.7569983,7.07617998,0.00222075782554606,0.233793159250369
179,Burnt Creek,9544.3068006,14.91300011,0.00456136235663663,0.703891483567088
175,Unnamed,716.53291067,1.11958003,0.00034193479233733003,0.189524097475051
222,Riverdale,3233.03458469,5.05162001,0.00156109221737187,0.152153696792448
122,Otter Creek,7705.57552131,12.03999996,0.00369626817704164,1.02388983254171
269,Lake Ilo,1446.64426347,2.26038003,0.0006964179724985491,0.411601182141475
134,Voltaire,25964.1452473,40.56900024,0.0126558373726571,1.4172349539227398
96,Unnamed,1414.29274184,2.20983005,0.000701214228130012,0.13524013409329902
15,Colfax,41446.2689453,64.75980377,0.0196072493628163,1.01395175854013
38,Cherry Creek,7353.55589429,11.48989964,0.00357295384919266,1.05564238991067
223,Painted Woods Lake,5851.08917151,9.14233017,0.00281128726414436,0.26166542555845496
235,Ypsilanti,5354.47051666,8.36635971,0.0025506501341748204,0.452934530391273
182,Winona,8354.88391488,13.05449963,0.0039358104030589695,0.324704184920145
17,Unnamed,444.04606261,0.69382203,0.000210395060726234,0.110154341389266
187,Glencoe Channel,13358.3654176,20.87240028,0.00636043740516817,0.573498481024302
233,Guelph,17440.2919332,27.25049973,0.0082037584652232,1.0286665358372098
260,Englevale,47186.8391471,73.72940063,0.0222880793908653,1.60601495823933
153,Unnamed,9205.21529823,14.38309956,0.00453391740189137,0.351433606872938
13,Medford,2442.39756666,3.81625009,0.00119504553669376,0.179124444815777
147,Unnamed,324.04888746,0.50632602,0.00016045177511502502,0.0464234580066529
104,Lignite City,3357.87362208,5.24667978,0.0016641463311219402,0.180878503104752
280,Tiffany Flats,49486.4094649,77.32250214,0.0239790958801194,0.66877984981187
120,Pleasant Lake - South Deep Channel,1411.30633404,2.20516992,0.0006927139929043901,0.27430244875370596
113,Little Knife River Valley,3711.94724884,5.79992008,0.00181643989251361,0.433604529768113
64,Spring Creek,77883.4207724,121.69300079,0.0366296658684155,1.97689312966941
267,Rosefield,6547.77481529,10.23089981,0.0031719604483918503,0.23616488660528298
23,West Fargo,98462.901322,153.8480072,0.0470410969954428,4.47759019845627
195,Englevale Lower,9007.96949626,14.07499981,0.004247057818147191,0.533064504476587
198,Unnamed,1547.06184117,2.41727996,0.0007521393229252381,0.113302311238357
135,Butte,39662.9392712,61.97330093,0.0192647900053714,1.41459332323909
162,Strawberry Lake,19724.9166831,30.82019997,0.00957895540035203,0.7513228130041499
41,Big Coulee,15079.2384366,23.56130028,0.007364061761417581,0.9792178303829641
201,Homer,8777.45578342,13.71479988,0.004189805469321381,0.32404375510080996
57,Grenora,24942.2272951,38.97219849,0.012312465308329601,0.625532360947863
173,Battle Creek,5161.10882125,8.06422997,0.00243609153238454,0.532325010539116
137,Hiddenwood Lake,25848.2628177,40.38790131,0.0125586170718907,1.3299928201317799
279,Little Stoney,2902.05187834,4.53446007,0.00138154590365377,0.254264165264298
31,Unnamed,4595.49269168,7.18045998,0.0022479012000268203,0.264007916764342
161,Horseshoe Valley,6236.50240589,9.74454021,0.00302495090583622,0.371149357039957
73,Beaver Lake,6093.2194155,9.5206604,0.00288630112857165,0.25754246340549103
